Date,Mode,Category,Remark,Amount,Income_Expense,Transaction_id
19-02-2015,Cash,Healthcare,Medicine,34,Expense,TXN127
19-02-2015,Cash,Healthcare,Health,45,Expense,TXN128
23-02-2015,Credit Card,Transportation,train,526,Expense,TXN129
23-02-2015,Cash,Discretionary,Footwear,20,Expense,TXN130
23-02-2015,Cash,Transportation,Train,20,Expense,TXN131
23-02-2015,Cash,Transportation,auto,20,Expense,TXN132
24-02-2015,Cash,Transportation,auto,66,Expense,TXN135
24-02-2015,Cash,Groceries,Grocery,160,Expense,TXN136
24-02-2015,Cash,Groceries,Tea,10,Expense,TXN134
26-02-2015,Cash,Groceries,Tea,6,Expense,TXN137
26-02-2015,Cash,Transportation,auto,60,Expense,TXN138
26-02-2015,Cash,Groceries,Milk,26,Expense,TXN139
26-02-2015,Cash,Groceries,Grocery,30,Expense,TXN140
28-02-2015,Cash,Groceries,Tea,20,Expense,TXN141
28-02-2015,Cash,Groceries,Lunch,55,Expense,TXN142
28-02-2015,Cash,Groceries,Milk,26,Expense,TXN143
01-03-2015,Cash,Groceries,Tea,6,Expense,TXN145
01-03-2015,Saving Bank account 1,Groceries,Lunch,88,Expense,TXN146
01-03-2015,Cash,Groceries,Dinner,80,Expense,TXN147
01-03-2015,Cash,Groceries,fruits,20,Expense,TXN148
02-03-2015,Cash,Groceries,Tea,30,Expense,TXN149
02-03-2015,Cash,Healthcare,Hospital,300,Expense,TXN153
02-03-2015,Cash,Groceries,Lunch,25,Expense,TXN154
02-03-2015,Cash,Groceries,breakfast,40,Expense,TXN152
02-03-2015,Cash,Transportation,auto,10,Expense,TXN155
02-03-2015,Cash,Healthcare,Medicine,226,Expense,TXN156
03-03-2015,Cash,Healthcare,Hospital,3000,Expense,TXN162
03-03-2015,Cash,Healthcare,Medicine,82,Expense,TXN159
04-03-2015,Cash,Groceries,beverage,25,Expense,TXN163
05-03-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN164
05-03-2015,Cash,Discretionary,grooming,40,Expense,TXN165
06-03-2015,Cash,Groceries,beverage,25,Expense,TXN166
06-03-2015,Cash,Transportation,auto,10,Expense,TXN167
06-03-2015,Cash,Transportation,auto,10,Expense,TXN168
07-03-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN170
10-03-2015,Cash,Transportation,Train,20,Expense,TXN175
10-03-2015,Cash,Transportation,auto,20,Expense,TXN173
10-03-2015,Cash,Transportation,auto,10,Expense,TXN174
10-03-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN177
10-03-2015,Saving Bank account 1,Transportation,train,11.8,Expense,TXN178
10-03-2015,Saving Bank account 1,Transportation,train,11.8,Expense,TXN176
11-03-2015,Cash,Groceries,Tea,8,Expense,TXN179
12-03-2015,Credit Card,Healthcare,Hospital,1900,Expense,TXN181
12-03-2015,Cash,Groceries,Tea,30,Expense,TXN182
13-03-2015,Cash,Transportation,auto,10,Expense,TXN183
14-03-2015,Cash,Discretionary,Laundry,40,Expense,TXN184
14-03-2015,Cash,Groceries,Milk,26,Expense,TXN185
15-03-2015,Cash,Groceries,Milk,36,Expense,TXN187
15-03-2015,Cash,Discretionary,Clothing,30,Expense,TXN188
16-03-2015,Cash,Groceries,Tea,20,Expense,TXN189
16-03-2015,Cash,Healthcare,Hospital,1000,Expense,TXN190
18-03-2015,Cash,Groceries,Lunch,25,Expense,TXN194
18-03-2015,Cash,Groceries,snacks,53,Expense,TXN195
18-03-2015,Cash,Groceries,Milk,26,Expense,TXN192
18-03-2015,Cash,Groceries,breakfast,20,Expense,TXN193
19-03-2015,Cash,Utilities,Kitchen,50,Expense,TXN196
20-03-2015,Cash,Discretionary,Laundry,100,Expense,TXN197
20-03-2015,Credit Card,Healthcare,Hospital,3700,Expense,TXN198
23-03-2015,Credit Card,Groceries,Grocery,433.8,Expense,TXN199
24-03-2015,Cash,Groceries,Milk,26,Expense,TXN201
29-03-2015,Cash,Groceries,Grocery,150,Expense,TXN203
29-03-2015,Cash,Healthcare,Medicine,269,Expense,TXN204
01-04-2015,Cash,Groceries,Grocery,50,Expense,TXN206
04-04-2015,Credit Card,Groceries,Grocery,889,Expense,TXN210
04-04-2015,Cash,Groceries,Grocery,287,Expense,TXN211
06-04-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN213
07-04-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN214
08-04-2015,Cash,Groceries,Grocery,156,Expense,TXN216
10-04-2015,Cash,Groceries,Grocery,699,Expense,TXN217
13-04-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN218
18-04-2015,Saving Bank account 1,Groceries,Grocery,324,Expense,TXN222
23-04-2015,Cash,Groceries,Milk,56,Expense,TXN223
24-04-2015,Saving Bank account 1,Groceries,Grocery,420,Expense,TXN224
26-04-2015,Saving Bank account 1,Groceries,Grocery,110,Expense,TXN226
26-04-2015,Saving Bank account 1,Groceries,Dinner,114,Expense,TXN225
28-04-2015,Cash,Groceries,Milk,28,Expense,TXN229
01-05-2015,Cash,Groceries,Grocery,20,Expense,TXN230
02-05-2015,Cash,Groceries,Milk,28,Expense,TXN231
03-05-2015,Saving Bank account 1,Groceries,Grocery,1178,Expense,TXN234
05-05-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN236
05-05-2015,Cash,Groceries,Grocery,100,Expense,TXN237
05-05-2015,Cash,Groceries,Milk,26,Expense,TXN238
06-05-2015,Cash,Healthcare,Medicine,70,Expense,TXN240
07-05-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN241
08-05-2015,Cash,Groceries,Milk,26,Expense,TXN242
09-05-2015,Cash,Healthcare,Health,290,Expense,TXN245
09-05-2015,Cash,Groceries,Grocery,20,Expense,TXN243
09-05-2015,Cash,Groceries,Milk,52,Expense,TXN244
10-05-2015,Cash,Utilities,Toiletries,160,Expense,TXN246
11-05-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN247
11-05-2015,Cash,Groceries,Milk,26,Expense,TXN249
11-05-2015,Cash,Groceries,Grocery,20,Expense,TXN250
12-05-2015,Cash,Groceries,Milk,26,Expense,TXN251
13-05-2015,Saving Bank account 1,Groceries,Milk,26,Expense,TXN252
13-05-2015,Cash,Healthcare,Health,250,Expense,TXN253
15-05-2015,Saving Bank account 1,Groceries,Milk,26,Expense,TXN255
16-05-2015,Cash,Groceries,fruits,20,Expense,TXN257
16-05-2015,Saving Bank account 1,Groceries,Milk,26,Expense,TXN258
17-05-2015,Saving Bank account 1,Transportation,Taxi,6000,Expense,TXN259
31-05-2015,Saving Bank account 1,Utilities,Appliances,2671,Expense,TXN262
05-06-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN266
08-06-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN268
10-06-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN271
06-07-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN281
07-07-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN282
10-07-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN285
05-08-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN294
07-08-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN295
10-08-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN297
14-08-2015,Saving Bank account 1,Utilities,Kitchen,3499,Expense,TXN299
05-09-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN307
07-09-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN309
10-09-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN311
11-09-2015,Saving Bank account 1,Groceries,Lunch,379,Expense,TXN312
28-09-2015,Cash,Healthcare,Health,300,Expense,TXN317
28-09-2015,Cash,Healthcare,Health,120,Expense,TXN318
02-10-2015,Saving Bank account 1,Groceries,beverage,420,Expense,TXN322
05-10-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN324
07-10-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN326
10-10-2015,Saving Bank account 1,Financial Obligations,Mutual fund,1000,Expense,TXN327
18-10-2015,Saving Bank account 1,Transportation,Taxi,803,Expense,TXN330
18-10-2015,Saving Bank account 1,Discretionary,Clothing,1479,Expense,TXN331
23-10-2015,Cash,Transportation,auto,20,Expense,TXN335
24-10-2015,Cash,Utilities,Appliances,100,Expense,TXN336
25-10-2015,Cash,Utilities,Kitchen,240,Expense,TXN337
28-10-2015,Cash,Transportation,Bus,660,Expense,TXN340
29-10-2015,Saving Bank account 1,Transportation,Bus,665,Expense,TXN341
30-10-2015,Cash,Transportation,auto,30,Expense,TXN342
30-10-2015,Cash,Discretionary,grooming,50,Expense,TXN343
31-10-2015,Cash,Healthcare,Health,150,Expense,TXN345
31-10-2015,Cash,Groceries,Tea,10,Expense,TXN347
31-10-2015,Cash,Transportation,auto,180,Expense,TXN344
31-10-2015,Cash,Transportation,auto,71,Expense,TXN348
31-10-2015,Cash,Groceries,snacks,250,Expense,TXN350
31-10-2015,Cash,Groceries,snacks,70,Expense,TXN349
