Date,Mode,Category,Remark,Amount,Income_Expense,Transaction_id
01-01-2020,Mobile Wallet,Groceries,amul butter,131,Expense,TXN1
01-01-2020,Credit Card,Education,tuition fees,9273,Expense,TXN2
02-01-2020,Credit Card,Groceries,festival snacks,770,Expense,TXN3
02-01-2020,UPI,Care Essentials,pet food,383,Expense,TXN4
02-01-2020,Cash,Care Essentials,contact lens solution,257,Expense,TXN5
03-01-2020,Mobile Wallet,Miscellaneous,unexpected repairs,414,Expense,TXN6
03-01-2020,Debit Card,Interest,savings interest,8592,Income,TXN7
03-01-2020,Mobile Wallet,Rewards,loyalty points,196,Income,TXN8
04-01-2020,Mobile Wallet,Miscellaneous,expense reimbursement,60,Income,TXN9
04-01-2020,Net Banking,Pension,provident fund,28553,Income,TXN10
04-01-2020,Mobile Wallet,Miscellaneous,anniversary expense,76,Expense,TXN11
05-01-2020,Cash,Rewards,promotion bonus,73,Income,TXN12
05-01-2020,Bank Transfer,Rent,rent paid for apartment,16989,Expense,TXN13
05-01-2020,Mobile Wallet,Groceries,buttermilk,277,Expense,TXN14
05-01-2020,Mobile Wallet,Groceries,chocolate,294,Expense,TXN15
05-01-2020,UPI,Care Essentials,soap,138,Expense,TXN16
06-01-2020,Debit Card,Communication,mobile recharge,880,Expense,TXN17
06-01-2020,Automatic Payment,Salary,monthly salary,51017,Income,TXN18
07-01-2020,Debit Card,Utilities,sewer charges,559,Expense,TXN19
07-01-2020,Debit Card,Utilities,electricity bill,520,Expense,TXN20
07-01-2020,Cash,Miscellaneous,insurance claim,259,Income,TXN21
08-01-2020,Debit Card,Gifts,birthday gift,733,Income,TXN22
08-01-2020,Credit Card,Rent,security deposit received,5869,Income,TXN23
08-01-2020,Debit Card,Stocks,equity sale,1692,Income,TXN24
08-01-2020,Debit Card,Enrichment,music class,995,Expense,TXN25
08-01-2020,Debit Card,Groceries,festival snacks,561,Expense,TXN26
09-01-2020,Credit Card,Utilities,water bill,679,Expense,TXN27
09-01-2020,Debit Card,Utilities,waste collection,582,Expense,TXN28
09-01-2020,Debit Card,Communication,landline bill,782,Expense,TXN29
10-01-2020,Credit Card,Education,project materials,6048,Expense,TXN30
10-01-2020,UPI,Groceries,veggies,132,Expense,TXN31
11-01-2020,Credit Card,Utilities,gas bill,595,Expense,TXN32
11-01-2020,Mobile Wallet,Communication,DTH recharge,233,Expense,TXN33
13-01-2020,UPI,Care Essentials,makeup items,331,Expense,TXN34
13-01-2020,Mobile Wallet,Groceries,biscuits,186,Expense,TXN35
13-01-2020,UPI,Communication,cable tv bill,326,Expense,TXN36
13-01-2020,Mobile Wallet,Groceries,ice cream,60,Expense,TXN37
13-01-2020,Debit Card,Stocks,securities profit,928,Income,TXN38
13-01-2020,Mobile Wallet,Miscellaneous,survey incentive,343,Income,TXN39
14-01-2020,Credit Card,Financial Dues,investment deposit,6867,Expense,TXN40
14-01-2020,Credit Card,Domestic Help,gardener,1443,Expense,TXN41
14-01-2020,Cash,Rewards,app cashback,175,Income,TXN42
14-01-2020,Debit Card,Education,library fees,3194,Expense,TXN43
15-01-2020,Credit Card,Education,school supplies,8945,Expense,TXN44
15-01-2020,Credit Card,Communication,internet bill,710,Expense,TXN45
15-01-2020,Debit Card,Groceries,kendriya bhandar,4518,Expense,TXN46
16-01-2020,UPI,Groceries,tea,147,Expense,TXN47
16-01-2020,UPI,Miscellaneous,emergency expense,181,Expense,TXN48
17-01-2020,Debit Card,Domestic Help,watchman tip,1057,Expense,TXN49
17-01-2020,Cash,Groceries,biscuits,87,Expense,TXN50
18-01-2020,Debit Card,Healthcare,vitamins,523,Expense,TXN51
18-01-2020,Mobile Wallet,Healthcare,vitamins,115,Expense,TXN52
19-01-2020,UPI,Groceries,non-veg items,236,Expense,TXN53
19-01-2020,Credit Card,Healthcare,blood test,987,Expense,TXN54
20-01-2020,Debit Card,Financial Dues,retirement fund,6534,Expense,TXN55
20-01-2020,Mobile Wallet,Groceries,buttermilk,203,Expense,TXN56
20-01-2020,Mobile Wallet,Care Essentials,baby care items,180,Expense,TXN57
21-01-2020,Debit Card,Groceries,dry fruits,641,Expense,TXN58
21-01-2020,Cash,Groceries,ice cream,219,Expense,TXN59
22-01-2020,Credit Card,Enrichment,hobby supplies,895,Expense,TXN60
22-01-2020,Debit Card,Education,stationery,5494,Expense,TXN61
23-01-2020,Cash,Groceries,buns,281,Expense,TXN62
23-01-2020,Debit Card,Financial Dues,late payment fees,2075,Expense,TXN63
23-01-2020,Debit Card,Transportation,toll tax,952,Expense,TXN64
25-01-2020,Credit Card,Interest,FD interest,8161,Income,TXN65
25-01-2020,Mobile Wallet,Groceries,buttermilk,272,Expense,TXN66
26-01-2020,Credit Card,Gifts,wedding gift,629,Income,TXN67
26-01-2020,Cash,Groceries,chutney,161,Expense,TXN68
26-01-2020,Credit Card,Financial Dues,retirement fund,2221,Expense,TXN69
27-01-2020,Credit Card,Domestic Help,laundry service,999,Expense,TXN70
27-01-2020,Mobile Wallet,Groceries,festival snacks,450,Expense,TXN71
27-01-2020,Debit Card,Financial Dues,late payment fees,2158,Expense,TXN72
27-01-2020,Cash,Groceries,bread,114,Expense,TXN73
29-01-2020,Credit Card,Enrichment,art supplies,803,Expense,TXN74
30-01-2020,Credit Card,Discretionary,electronics,902,Expense,TXN75
31-01-2020,Mobile Wallet,Discretionary,hotel booking,321,Expense,TXN76
02-02-2020,Other,Rent,HRA deducted from salary,11295,Expense,TXN77
02-02-2020,Debit Card,Enrichment,art classes,861,Expense,TXN78
02-02-2020,Debit Card,Education,project materials,9497,Expense,TXN79
02-02-2020,Cash,Groceries,bread,119,Expense,TXN80
02-02-2020,UPI,Groceries,snacks,254,Expense,TXN81
02-02-2020,Debit Card,Healthcare,supplements,681,Expense,TXN82
03-02-2020,Credit Card,Financial Dues,PPF deposit,5862,Expense,TXN83
04-02-2020,Credit Card,Rent,rent received in cash,7186,Income,TXN84
04-02-2020,Cheque,Salary,monthly salary,53939,Income,TXN85
05-02-2020,Debit Card,Education,workshop fees,6181,Expense,TXN86
05-02-2020,UPI,Groceries,non-veg items,452,Expense,TXN87
05-02-2020,UPI,Groceries,snacks,72,Expense,TXN88
06-02-2020,Mobile Wallet,Care Essentials,haircut,143,Expense,TXN89
06-02-2020,UPI,Miscellaneous,expense reimbursement,459,Income,TXN90
06-02-2020,Bank Transfer,Pension,provident fund,20532,Income,TXN91
07-02-2020,UPI,Groceries,dry fruits,259,Expense,TXN92
07-02-2020,Credit Card,Discretionary,gift items,970,Expense,TXN93
07-02-2020,UPI,Groceries,ice cream,65,Expense,TXN94
07-02-2020,Debit Card,Utilities,sewer charges,655,Expense,TXN95
08-02-2020,Debit Card,Communication,landline bill,877,Expense,TXN96
08-02-2020,Credit Card,Utilities,waste collection,657,Expense,TXN97
08-02-2020,Debit Card,Discretionary,entertainment,941,Expense,TXN98
09-02-2020,UPI,Miscellaneous,tax refund,253,Income,TXN99
09-02-2020,Debit Card,Education,school fees,2759,Expense,TXN100
09-02-2020,Credit Card,Domestic Help,home repair,1350,Expense,TXN101
09-02-2020,Cash,Groceries,buttermilk,61,Expense,TXN102
09-02-2020,UPI,Groceries,milk,299,Expense,TXN103
09-02-2020,Cash,Rewards,survey reward,79,Income,TXN104
09-02-2020,Credit Card,Utilities,electricity bill,522,Expense,TXN105
10-02-2020,Mobile Wallet,Care Essentials,pet grooming,238,Expense,TXN106
10-02-2020,Debit Card,Communication,internet bill,606,Expense,TXN107
10-02-2020,Credit Card,Communication,mobile recharge,925,Expense,TXN108
10-02-2020,Mobile Wallet,Miscellaneous,religious offering,227,Expense,TXN109
10-02-2020,Mobile Wallet,Rewards,cashback,170,Income,TXN110
11-02-2020,UPI,Groceries,ice cream,55,Expense,TXN111
12-02-2020,Credit Card,Utilities,water bill,702,Expense,TXN112
12-02-2020,Credit Card,Financial Dues,mutual fund SIP,4261,Expense,TXN113
12-02-2020,Debit Card,Communication,cable tv bill,713,Expense,TXN114
12-02-2020,Cash,Groceries,chocolate,62,Expense,TXN115
13-02-2020,Credit Card,Enrichment,subscription fees,801,Expense,TXN116
13-02-2020,UPI,Care Essentials,moisturizer,387,Expense,TXN117
13-02-2020,Credit Card,Communication,DTH recharge,916,Expense,TXN118
14-02-2020,Credit Card,Financial Dues,investment deposit,2123,Expense,TXN119
14-02-2020,Credit Card,Groceries,non-veg items,537,Expense,TXN120
15-02-2020,Credit Card,Interest,interest on loan,8764,Income,TXN121
15-02-2020,Debit Card,Financial Dues,education loan EMI,2110,Expense,TXN122
15-02-2020,Debit Card,Utilities,gas bill,540,Expense,TXN123
15-02-2020,Cash,Groceries,curd,252,Expense,TXN124
15-02-2020,Cash,Groceries,ghee,150,Expense,TXN125
16-02-2020,Cash,Groceries,festival snacks,292,Expense,TXN126
17-02-2020,Debit Card,Education,project materials,5353,Expense,TXN127
17-02-2020,Debit Card,Financial Dues,tax payment,3267,Expense,TXN128
18-02-2020,Debit Card,Interest,dividend income,6907,Income,TXN129
19-02-2020,Mobile Wallet,Miscellaneous,rebate amount,57,Income,TXN130
19-02-2020,Debit Card,Groceries,dry fruits,561,Expense,TXN131
19-02-2020,Cash,Groceries,masala powders,265,Expense,TXN132
20-02-2020,Credit Card,Stocks,capital gain,933,Income,TXN133
20-02-2020,Credit Card,Domestic Help,carpenter,1427,Expense,TXN134
20-02-2020,Debit Card,Healthcare,bandages,857,Expense,TXN135
20-02-2020,Debit Card,Healthcare,first aid,948,Expense,TXN136
