Date,Mode,Category,Remark,Amount,Income_Expense,Transaction_id
01-01-2020,Cash,Care Essentials,baby care items,192,Expense,TXN1
01-01-2020,Automatic Payment,Education,stationery,13944,Expense,TXN2
01-01-2020,Cash,Care Essentials,toothpaste,383,Expense,TXN3
02-01-2020,Mobile Wallet,Groceries,festival snacks,413,Expense,TXN4
02-01-2020,Automatic Payment,Education,exam fees,13071,Expense,TXN5
02-01-2020,Net Banking,Salary,performance bonus,60043,Income,TXN6
02-01-2020,Cash,Miscellaneous,expense reimbursement,426,Income,TXN7
02-01-2020,Cash,Groceries,eggs,176,Expense,TXN8
02-01-2020,Credit Card,Discretionary,party expenses,783,Expense,TXN9
03-01-2020,Mobile Wallet,Care Essentials,contact lens solution,195,Expense,TXN10
03-01-2020,Credit Card,Groceries,non-veg items,762,Expense,TXN11
03-01-2020,Other,Pension,superannuation,42852,Income,TXN12
04-01-2020,UPI,Care Essentials,shaving kit,190,Expense,TXN13
04-01-2020,Credit Card,Rent,advance rent received,5419,Income,TXN14
05-01-2020,UPI,Miscellaneous,unexpected repairs,133,Expense,TXN15
05-01-2020,Mobile Wallet,Groceries,veggies,229,Expense,TXN16
05-01-2020,Credit Card,Enrichment,magazine subscription,895,Expense,TXN17
05-01-2020,Cash,Groceries,popcorn,58,Expense,TXN18
05-01-2020,Credit Card,Utilities,electricity bill,931,Expense,TXN19
06-01-2020,Automatic Payment,Rent,rent paid for apartment,10125,Expense,TXN20
06-01-2020,Cash,Rewards,cashback,194,Income,TXN21
07-01-2020,Mobile Wallet,Healthcare,antiseptic,456,Expense,TXN22
07-01-2020,Credit Card,Interest,FD interest,7896,Income,TXN23
07-01-2020,Credit Card,Utilities,water bill,755,Expense,TXN24
07-01-2020,Debit Card,Financial Dues,car loan EMI,2775,Expense,TXN25
08-01-2020,Credit Card,Education,books,3689,Expense,TXN26
08-01-2020,UPI,Groceries,curd,145,Expense,TXN27
08-01-2020,UPI,Care Essentials,toothpaste,462,Expense,TXN28
08-01-2020,UPI,Miscellaneous,courier charges,465,Expense,TXN29
08-01-2020,Debit Card,Financial Dues,bank charges,5784,Expense,TXN30
08-01-2020,UPI,Discretionary,accessories,352,Expense,TXN31
08-01-2020,Credit Card,Enrichment,music class,963,Expense,TXN32
09-01-2020,Debit Card,Enrichment,subscription fees,974,Expense,TXN33
09-01-2020,Credit Card,Communication,DTH recharge,978,Expense,TXN34
09-01-2020,Cash,Groceries,buns,197,Expense,TXN35
10-01-2020,UPI,Groceries,yogurt,89,Expense,TXN36
11-01-2020,Cash,Communication,cable tv bill,327,Expense,TXN37
12-01-2020,Credit Card,Financial Dues,retirement fund,5289,Expense,TXN38
